Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length, Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk, Bwd Avg Bulk Rate, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Mean, Idle Std, Idle Max, Idle Min, Label
185.17.252.146-192.168.10.5-389-24826-6,192.168.10.5,24826,185.17.252.146,389,6,3/7/2017 8:55:16,3402045,1,3,107,384,107,107,106.568,0,282,73,127.972,81.4606,144.32495748880453,1.1757634011307905,1.13402e+06,450085,1824628,51596,0,0,0,0,0,2266067,1.13303e+06,529595,2215848,314863,0,0,0,0,20,60,0.293941,0.881823,73,282,98.2,75.2275,5659.17,0,0,0,0,1,0,0,0,3,122.75,106.568,127.972,20,0,0,0,0,0,0,1,107,3,384,29200,28960,1,20,0,0,0,0,0,0,0,0,BENIGN
216.181.67.201-192.168.10.16-8080-31531-6,192.168.10.16,31531,216.181.67.201,8080,6,3/7/2017 8:55:25,861632,16,6,1415,2248,241,54,88.4097,68.8607,631,247,374.627,216.578,4251.234865928842,25.532942137710762,41030.1,159266,245767,3905,814839,54322.6,235838,426267,13611,661522,132304,564959,661522,30304,0,0,0,0,512,192,18.5694,6.96353,54,631,159.261,180.393,32541.8,0,0,0,0,1,0,0,0,0,166.5,88.4097,374.627,512,0,0,0,0,0,0,16,1415,6,2248,8192,5840,10,32,0,0,0,0,0,0,0,0,BENIGN
199.13.101.21-192.168.10.14-137-52133-17,192.168.10.14,52133,199.13.101.21,137,17,3/7/2017 8:57:15,7619,1,1,57,108,57,57,57.0454,0,108,108,108.385,0,21656.38535240845,262.501640635254,7619,0,7619,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,131.251,131.251,57,108,55,37.7769,1427.1,0,0,0,0,0,0,0,0,1,82.5,57.0454,108.385,8,0,0,0,0,0,0,1,57,1,108,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
172.17.52.91-192.168.10.19-45497-43932-6,192.168.10.19,43932,172.17.52.91,45497,6,3/7/2017 8:57:41,1182250,4,2,375,274,157,56,93.7747,40.337,225,69,137.122,84.9669,548.9532670754917,5.0750687248889825,236450,673871,1182250,13902,988885,329628,877387,988885,94011,676467,676467,0,676467,140956,0,0,0,0,128,64,3.38338,1.69169,56,225,92.7143,64.4148,4149.27,0,0,0,1,0,0,0,0,0,108.167,93.7747,137.122,128,0,0,0,0,0,0,4,375,2,274,65535,65535,2,32,0,0,0,0,0,0,0,0,BENIGN
172.252.8.115-192.168.10.15-53-61982-17,192.168.10.15,61982,172.252.8.115,53,17,3/7/2017 8:58:01,92831,1,1,54,75,54,54,54.0791,0,75,75,75.4776,0,1389.6220012711271,21.544527151490342,92831,0,92831,9983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.7723,10.7723,54,75,43,24.2646,588.77,0,0,0,0,0,0,0,0,1,64.5,54.0791,75.4776,8,0,0,0,0,0,0,1,54,1,75,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
185.52.157.205-192.168.10.16-51330-41669-6,192.168.10.16,41669,185.52.157.205,51330,6,3/7/2017 8:58:02,17920215,3,2,217,47,119,50,72.484,27.8531,43,17,23.6387,12.4399,14.731966106433433,0.2790145095915423,4.48005e+06,7.14934e+06,17567367,1197978,16823179,8.41159e+06,1.48389e+07,16823179,161756,10867188,1.08672e+07,0,10867188,1118216,0,0,0,0,96,64,0.167409,0.111606,17,119,44,34.3513,1180.01,0,0,0,0,0,0,0,0,0,52.8,72.484,23.6387,96,0,0,0,0,0,0,3,217,2,47,29200,0,2,32,657755,419470,1291142,332612,5.40658e+06,1.27506e+06,7693122,3970496,BENIGN
192.168.10.29-192.168.10.15-137-40462-17,192.168.10.15,40462,192.168.10.29,137,17,3/7/2017 8:58:30,92894,1,1,27,162,27,27,26.7777,0,162,162,162.225,0,2034.577044803755,21.529915818029153,92894,0,92894,21216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.765,10.765,27,162,63,74.6914,5578.81,0,0,0,0,0,0,0,0,1,94.5,26.7777,162.225,8,0,0,0,0,0,0,1,27,1,162,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
172.218.127.61-192.168.10.5-443-52391-6,192.168.10.5,52391,172.218.127.61,443,6,3/7/2017 8:59:14,1437252,9,33,1297,29725,226,40,144.166,69.8811,1390,629,900.749,340.478,21584.24549070031,29.222432809277706,35054.9,37027.5,138622,3381,928015,116002,106806,347307,5742,1093037,34157.4,29712.3,94722,4159,0,0,0,0,288,1056,6.26195,22.9605,40,1390,721.442,434.514,188802,0,0,0,0,1,0,0,0,3,738.619,144.166,900.749,288,0,0,0,0,0,0,9,1297,33,29725,64240,28960,6,32,0,0,0,0,0,0,0,0,BENIGN
104.67.59.234-192.168.10.17-8080-47698-6,192.168.10.17,47698,104.67.59.234,8080,6,3/7/2017 8:59:31,2461456,4,18,990,4214,499,9,247.545,199.428,504,50,234.115,143.323,2114.195825560156,8.937799416280445,117212,116814,363225,29391,1487113,495704,532940,1487113,82975,1707055,100415,95743.1,380945,200,0,0,0,0,128,576,1.62505,7.31274,9,504,226.261,155.469,24170.6,0,0,0,0,1,0,0,0,4,236.545,247.545,234.115,128,0,0,0,0,0,0,4,990,18,4214,65535,28960,2,32,0,0,0,0,0,0,0,0,BENIGN
172.231.19.50-192.168.10.17-443-28285-6,192.168.10.17,28285,172.231.19.50,443,6,3/7/2017 8:59:40,1787497,6,27,752,13936,232,63,125.347,52.4114,858,218,516.155,218.2,8217.076727960943,18.46156944599068,55859.3,96599.3,299913,5484,1186202,237240,460883,899166,27732,1434072,55156.6,108687,277044,12089,0,0,0,0,192,864,3.35665,15.1049,63,858,432,249.692,62346.1,0,0,0,0,0,0,0,0,4,445.091,125.347,516.155,192,0,0,0,0,0,0,6,752,27,13936,64240,65535,3,32,0,0,0,0,0,0,0,0,BENIGN
